customer_id,customer_name,customer_type,gender,dob,address,city,state,zip_code,country,phone,email,id_type,id_number,id_country,registration_date,account_status,account_balance,customer_tier
1001,"Smith, Robert",I,,12/11/1978,"123 Main Street, Las Vegas NV 89132",,,,,702-919-1300,,,,,1/2/18,Active,100,
1002,"Smith, Bob",I,,11/12/1978,1515 Adela Lane,Las Vegas,NV,89111,,702-919-1300,,,,,3/10/17,Inactive,200,
1003,"Smith, Bob J",I,,12/11/1978,,,,,,,bsmith@work.com,,,,4/9/16,Inactive,300,
1004,"Smith, B",I,,11/12/1979,1515 Adela Ln,Las Vegas,NV,89132,,,bsmith@work.com,,,,1/5/15,Inactive,400,
1005,"Smith, Robbie",I,,,123 E Main St,Henderson,NV,89132,,,,DRIVERS_LICENSE,112233,NV,7/16/19,Active,500,
1009,"Kusha, Edward",I,,3/1/1970,1304 Poppy Hills Dr,Blacklick,OH,43004,,,Kusha123@hmail.com,SSN,294-66-9999,US,1/7/18,Active,600,
1010,"Kusha, Eddie",I,,Mar 1 1970,1304 Poppy Hills Dr,Blacklick,OHIO,,,,,,,,1/8/16,Inactive,700,
1011,"Knight, Ed",I,,3/1/70,1602 Brenville Pl,San Francisco,CA,94105,,,,,,,10/9/15,Terminated,800,
1015,"Kusha, Mary",I,,10/27/76,1304 Poppy Hills Dr,Blacklick,OH,43004,,512-353-8633,Kusha123@hmail.com,SSN,293-90-9090,US,1/10/18,Active,900,
1016,"Kusha, Marie",I,,10/27/76,1304 Poppy Hills Dr,,,43004,,,,,,,1/11/18,Active,100,
1017,"Kusha, Mary",I,,,,,,,,,,SSN,293-90-9090,US,1/12/18,Active,200,
1018,"Kusha, Marie",I,,10/28/76,,,,,,512-353-8633,,,,,1/13/18,Active,300,
1019,"Kusha, Mark",I,,9/28/97,1304 Poppy Hills Dr,Blacklick,OH,43004,,,Kusha123@hmail.com,,,,1/14/18,Active,400,
1020,"Kusha, Marsha",I,,9/28/97,1304 Poppy Hills Dr,Blacklick,OH,43004,,,Kusha123@hmail.com,SSN,201-77-7719,US,1/15/18,Active,500,
1022,"Antoun, Mohamed",I,,1/7/80,,,,,,,,,,,1/16/18,Active,600,
1023,"Antoun, Muhammed",I,,1/7/80,,,,,,,,,,,1/17/18,Active,700,
1025,"Anderson, Darla",I,,1/7/80,,,,,,,,,,,1/18/18,Active,800,
1026,"Anderson, Darlene",I,,1/7/80,,,,,,,,,,,1/19/18,Active,900,
1028,"Dobbins Jr, David",I,,,1450 N City Rd Suite 900,Arlington,VA,23208,,,,,,,1/20/18,Active,100,
1030,"Garski, Luis",I,,3/25/89,445 Overpass Rd ,San Ramon ,CA ,927230000,,,,,,,1/21/18,Active,200,
1031,"Garsky, Louis",I,,3/25/89,445 Overpass Rd San Ramon,,,,,,,,,,1/22/18,Active,300,
1032,"Shaw, Daniella",I,,20/8/1991,,,,,,202-321-3212,,,,,1/23/18,Active,400,
1033,"Daniella, Shaw",I,,8/20/91,80 Delaware Ave SE Washington DC 40040,,,,,321-3212,,,,,1/24/18,Active,500,
1034,"Medina Sentosa, Maria Luis",I,,11/21/73,"9304 W. 15th St La Blanca, FL 60527",,,,,,Maria Sentosa<msentosa@fmail.com>,,,,1/25/18,Active,600,
1035,"M Sentosa, Maria Luis",I,,11/12/73,"9304 W. 15th St La Blanca, FL 60527",,,,,,,,,,1/26/18,Active,700,
1036,"Sentosa, Maria Luis",I,,11/12/73,"9304 W. 15th St La Blanca, FL 60527",,,,,,,,,,1/27/18,Active,800,
1039,"Smith, John",I,M,10/10/70,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,,,1/28/18,Active,900,
1040,"Smith, John",I,,3/15/90,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,,,,1/29/18,Active,100,
1043,"Smith, Patrick",I,,10/10/70,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,PASSPORT,10251111,US,1/30/18,Active,200,
1044,"Smith, Patricia",I,,3/15/90,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,PASSPORT,10252222,US,1/31/18,Active,300,
1045,"Smith, Pat",I,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,PASSPORT,10251111,USA,1/2/18,Active,400,
1046,"Smith, Pat",I,,,"3212 W. 32nd St Palm Harbor, FL 60527",,,,,,,PASSPORT,10252222,USA,1/3/18,Active,500,
1047,"Thompson, Zara",I,,,,,,,,,sthomp45@fmail.com,,,,1/4/18,Active,600,
1048,"Tompson, Sarah",I,,,,,,,,,sthomp45@fmail.com,,,,1/5/18,Active,700,
1049,"Thompson, Sahra",I,,,,,,,,,sthomp45@fmail.com,,,,1/6/18,Active,800,
1050,"Toulouse, Lee",I,,2/1/85,,,,,,,,PASSPORT,483290175,USA,1/7/18,Active,900,
